Title,Company,Location,Time,Expire
RecepsionisteGeci shpk- Tirana International Hotel,Geci shpk- Tirana International Hotel,Tirane,14-03-2025,edhe 27 ditë
Specialists for the (higher) service for Healthcare and Nursing ViennaKuratorium Wiener Pensionisten-Wohnhäuser,Kuratorium Wiener Pensionisten-Wohnhäuser,Vienna,07-03-2025,edhe 20 ditë
Ndihmes Teknik InstalimiAbissnet Sh.A.,Abissnet Sh.A.,Tirane,14-03-2025,edhe 27 ditë
ArkitektACREM,ACREM,Tirane,23-02-2025,edhe 8 ditë
Arkitekt/eSTUDIO REBUS,STUDIO REBUS,Tirane,14-03-2025,edhe 27 ditë
Shofer/Ndihmes MagazinierInstal Group,Instal Group,Tirane,14-03-2025,edhe 27 ditë
Mjeke  e pergjithshmeKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Vlerësues i Pasurive të  LuajtshmeFondi Besa,Fondi Besa,Tirane,07-03-2025,edhe 20 ditë
Shitëse banakuSPAR,SPAR,Tirane,13-03-2025,edhe 26 ditë
Agjente Shitje HorecaKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Menaxhere MarketinguKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
MekanikKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Operator TelesalesAlbanian Development Company sh.p.k,Albanian Development Company sh.p.k,Tirane,13-03-2025,edhe 26 ditë
Ekonomiste VloreTepelena Shpk,Tepelena Shpk,Vlore,13-03-2025,edhe 26 ditë
Konsulente ne ShowroomKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Specialiste FinanceKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Shofer Kamioni ManovratorKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Agjent ShitjeAlbanian Development Company sh.p.k,Albanian Development Company sh.p.k,Tirane,13-03-2025,edhe 26 ditë
Specialist Transporti (tokësor) DurresDIAMANT,DIAMANT,Durres,13-03-2025,edhe 26 ditë
Menaxher  Rajonal ShitjeshKalaja Talent Consulting,Kalaja Talent Consulting,"Tirane, Durres",13-03-2025,edhe 26 ditë
Specialist Transporti detar/ ajror DurresDIAMANT,DIAMANT,Durres,13-03-2025,edhe 26 ditë
Menaxher/e MarketiKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Shperndares PorosishKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Rating SpecialistINFO-Telecom Shpk,INFO-Telecom Shpk,Tirane,13-03-2025,edhe 26 ditë
